year,name,notes,church
,Alexander de Dorset,Presented by King John,St Peter's Dorchester
1302,Ralph de Odyham,,St Peter's Dorchester
1304,William de Ayremynne,,St Peter's Dorchester
1305,John de Ayremynne,,St Peter's Dorchester
1306,William de Ayremynne,,St Peter's Dorchester
1312,Alanus de Cancia;Kantia,,St Peter's Dorchester
1324,John de Warblynton,,St Peter's Dorchester
1348,Walter Swaine;Swayne,,St Peter's Dorchester
1349,Simon Macy de Clifton,,St Peter's Dorchester
1351,Galfribbs de Herdwik,,St Peter's Dorchester
1351,Robert de Cheriton;Cherlton,,St Peter's Dorchester
1362,John Robekyn;Ropkin,,St Peter's Dorchester
1379,John Roland;Rouland,,St Peter's Dorchester
1384,William Totell,,St Peter's Dorchester
1385,William Holym,,St Peter's Dorchester
1389,Peter Michel;Mighel,,St Peter's Dorchester
1393,John Rygges,,St Peter's Dorchester
1421,Thomas Waryn,,St Peter's Dorchester
1441,Thomas Wotton,,St Peter's Dorchester
1476,Richard Hyll,Afterwards Bishop of London,St Peter's Dorchester
1476,John Wykys,,St Peter's Dorchester
1485,John Ap-Herry;Harrys,,St Peter's Dorchester
1504,Robert Gaskyn,,St Peter's Dorchester
1524,John Glynne,,St Peter's Dorchester
1534,William Iresham,,St Peter's Dorchester
1540,William Bryce,,St Peter's Dorchester
1543,Nicholas Knewstubb,,St Peter's Dorchester
1558,William Woodman,,St Peter's Dorchester
1580,Edward Doughty,,St Peter's Dorchester
1585,Richard Johnson,,St Peter's Dorchester
1605,John White,The Puritan Divine and Founder of the Colony of Massachusetts,St Peter's Dorchester
1650,Stanley Gower,,St Peter's Dorchester
1660,George Hammon,,St Peter's Dorchester
1663,John Knightsbridge,,St Peter's Dorchester
1670,Samuel Rayner,,St Peter's Dorchester
1704,Samuel Conant,,St Peter's Dorchester
1707,William Leigh,,St Peter's Dorchester
1752,John Hubbock,,St Peter's Dorchester
1781,Nathaniel Templeman,,St Peter's Dorchester
1813,Henry John Richman,,St Peter's Dorchester
1822,John Morton Colson,,St Peter's Dorchester
1864,Edmund Ward Pears,,St Peter's Dorchester
1878,Thomas Wenham Knipe,,St Peter's Dorchester
1886,William Hind,,St Peter's Dorchester
1888,Thomas Kingdom Allen M.A.,,St Peter's Dorchester
1899,Alfred Metcalfe B.D.,,St Peter's Dorchester
1913,Herbert Chidley Coote,Canon and Rural Dean,St Peter's Dorchester
1919,George Cecil Niven D.D.,Rural Dean,St Peter's Dorchester
1930,Alfred Wilkinson Markby M.A. L.T.H.,Canon,St Peter's Dorchester
1956,Philip John Heaton M.A.,,St Peter's Dorchester
1960,Kenneth Walter Meiklejohn M.A. B.D.,Canon and Rural Dean,St Peter's Dorchester
1973,Phillip Roberts,Canon,St Peter's Dorchester
1981,James John Hamilton-Brown B.Sc,,St Peter's Dorchester
1991,Robin Edward Hobbs Johnson M.A.,Cantab,St Peter's Dorchester
2001,Philip Charles Lambert M.A.,Cantab,St Peter's Dorchester
2007,Harold William Barrow Stephens B.Ed.,,St Peter's Dorchester
2014,Thomas Mark Bews Woodhouse B.A. M.A.,Canon,St Peter's Dorchester
1280,Peter Doget Capellanus,,Corfe Castle
1300,Adam de Blyda,,Corfe Castle
1302,Bryan de Podio,,Corfe Castle
1311,John de Lusteshall,,Corfe Castle
1316,John de Aslakeby,,Corfe Castle
1318,Peter de Compton,,Corfe Castle
1333,William de Codeford,,Corfe Castle
1333,William Cobham,,Corfe Castle
1349,Philip de Winterborn,,Corfe Castle
1350,Philip de Codeford,,Corfe Castle
1361,Robert de Rympton,,Corfe Castle
1395,Hugh Dean,,Corfe Castle
1433,Richard Stourton,,Corfe Castle
1437,Richard Plomber,,Corfe Castle
1437,William Collyng,,Corfe Castle
1466,Henry Sutton M.D.,,Corfe Castle
1494,Geoffrey Blythe M.A.,,Corfe Castle
1498,Richard Hooton M.A.,,Corfe Castle
1512,John Wilcocks D.D.,,Corfe Castle
1514,John Woodroff,,Corfe Castle
1525,John de la Lind,,Corfe Castle
1534,Thomas Denet,,Corfe Castle
1564,Thomas Atherton,,Corfe Castle
1577,Edward James M.A.,,Corfe Castle
1600,Robert Kercher D.D.,,Corfe Castle
1644,Nicholas Gibbon D.D.,,Corfe Castle
1697,James Parkyns M.A.,,Corfe Castle
1703,Matthew Bowles M.A.,,Corfe Castle
1742,Thomas Bull L.L.,,Corfe Castle
1743,Sir Henry Parker D.D.,,Corfe Castle
1748,Sir Thomas Bankes I'Anson,,Corfe Castle
1800,William Bond M.A.,,Corfe Castle
1820,Edward Bankes M.A.,,Corfe Castle
1854,Eldon Surtees Bankes M.A.,,Corfe Castle
1899,William de Kilpech M.A.,,Corfe Castle
1938,William Yorke Batley M.C. M.A.,,Corfe Castle
1948,Lancelot Farquharson Addison,,Corfe Castle
1955,Gerald Squarey,,Corfe Castle
1991,Maurice Strike,,Corfe Castle
2004,Ian Jackson M.A.,,Corfe Castle
